SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1686193,393279,-46,24.0,13.0,Active,0,0
2558834,211287,-39,12.0,12.0,Active,0,0
2481864,364286,-41,48.0,45.0,Active,0,0
1731071,123004,-43,11.0,0.0,Completed,0,0
1731071,123004,-47,12.0,5.0,Active,7,7
2559765,112015,-6,12.0,7.0,Active,0,0
2094407,401198,-6,18.0,15.0,Active,0,0
1669093,174165,-9,24.0,19.0,Active,0,0
2562410,438258,-3,36.0,20.0,Active,0,0
1216486,389828,-23,6.0,6.0,Active,0,0
2541360,443198,-12,12.0,8.0,Active,0,0
2340288,262021,-17,8.0,7.0,Active,0,0
2509318,407888,-16,24.0,24.0,Active,0,0
1852808,386299,-17,1.0,0.0,Completed,0,0
1865614,292925,-42,8.0,7.0,Active,0,0
1938354,296190,-74,6.0,3.0,Active,0,0
1586491,441561,-16,30.0,5.0,Active,0,0
2074743,246215,-24,6.0,4.0,Active,0,0
1577262,119376,-18,42.0,18.0,Active,0,0
1970021,442331,-7,30.0,3.0,Active,0,0
1787769,355691,-9,24.0,8.0,Active,0,0
2702475,409607,-48,12.0,3.0,Active,0,0
1434606,454616,-17,11.0,0.0,Completed,0,0
2564670,446647,-7,24.0,17.0,Active,0,0
1794399,346569,-38,12.0,5.0,Active,0,0
2087675,224914,-11,6.0,3.0,Active,0,0
1997781,106954,-11,24.0,16.0,Active,0,0
1446488,296696,-95,6.0,3.0,Active,0,0
1270765,144623,-90,6.0,6.0,Active,0,0
1284570,420862,-18,12.0,1.0,Active,0,0
2009372,365131,-3,60.0,38.0,Active,0,0
1351180,226737,-32,6.0,3.0,Active,0,0
1952635,313082,-4,10.0,0.0,Completed,0,0
1384981,442331,-4,30.0,7.0,Active,0,0
1017343,204604,-15,24.0,15.0,Active,0,0
2256382,378104,-5,30.0,8.0,Active,0,0
2706530,438081,-13,10.0,9.0,Active,16,0
1920289,191885,-16,24.0,7.0,Active,0,0
2541360,443198,-13,12.0,9.0,Active,0,0
2214881,360485,-11,6.0,4.0,Active,0,0
2789212,137975,-78,10.0,3.0,Active,0,0
1566510,327699,-13,6.0,3.0,Active,0,0
2113556,296696,-12,36.0,22.0,Active,0,0
2256382,378104,-6,30.0,9.0,Active,0,0
2256382,378104,-18,30.0,22.0,Active,0,0
2552231,249336,-73,10.0,1.0,Active,5,5
2085811,315116,-6,24.0,17.0,Active,0,0
2085811,315116,-12,24.0,23.0,Active,0,0
1898536,421401,-66,8.0,1.0,Active,0,0
1500252,419475,-6,1.0,0.0,Completed,0,0
1573997,106381,-24,18.0,16.0,Active,0,0
2396919,292925,-26,30.0,28.0,Active,0,0
1938291,107220,-9,24.0,23.0,Active,0,0
1263813,190186,-8,18.0,14.0,Active,0,0
2284557,424814,-72,6.0,1.0,Active,0,0
2066220,193039,-60,7.0,7.0,Active,0,0
2610257,372968,-10,12.0,11.0,Active,0,0
1266952,251750,-19,24.0,17.0,Active,0,0
2525765,354763,-63,12.0,10.0,Active,0,0
2526358,225805,-47,12.0,6.0,Active,0,0
2717230,333281,-20,24.0,20.0,Active,0,0
1510539,151195,-4,36.0,35.0,Active,0,0
2080254,402864,-38,24.0,18.0,Active,0,0
2029464,249638,-9,24.0,22.0,Active,0,0
2241556,261573,-20,12.0,9.0,Active,0,0
2764413,167493,-38,24.0,19.0,Active,0,0
2261339,193039,-42,18.0,17.0,Active,0,0
1638765,162976,-8,10.0,6.0,Active,0,0
2775808,189030,-16,7.0,0.0,Completed,0,0
2399242,357915,-48,18.0,10.0,Active,0,0
1434109,101355,-24,24.0,17.0,Active,0,0
1740794,371021,-42,18.0,14.0,Active,0,0
2009372,365131,-11,60.0,46.0,Active,0,0
2784605,223689,-86,12.0,12.0,Active,0,0
1931106,439012,-11,60.0,50.0,Active,0,0
2354654,424266,-3,24.0,2.0,Active,0,0
1132042,118326,-11,60.0,57.0,Active,0,0
1931106,439012,-5,60.0,44.0,Active,0,0
1617210,206794,-8,48.0,31.0,Active,0,0
2651934,396103,-16,24.0,19.0,Active,0,0
2305396,437449,-36,18.0,15.0,Active,0,0
2300915,397090,-11,24.0,18.0,Active,0,0
1648579,108504,-34,24.0,20.0,Active,11,11
1494004,240548,-40,6.0,6.0,Active,0,0
1495730,399789,-62,10.0,7.0,Active,0,0
1313651,339883,-10,14.0,14.0,Active,0,0
1535206,213058,-4,18.0,7.0,Active,0,0
1267139,253786,-74,10.0,8.0,Active,0,0
2035455,189030,-10,14.0,13.0,Active,0,0
2029586,431750,-17,18.0,6.0,Active,0,0
2246087,204357,-32,6.0,3.0,Active,0,0
1302054,138047,-74,9.0,3.0,Active,0,0
1355646,371021,-76,10.0,7.0,Active,0,0
1243109,224206,-26,48.0,44.0,Active,0,0
2033370,200710,-66,9.0,4.0,Active,0,0
2427437,151195,-16,12.0,7.0,Active,0,0
1963957,394507,-10,12.0,12.0,Active,0,0
1370512,454280,-3,42.0,13.0,Active,0,0
1116949,338641,-1,42.0,21.0,Active,0,0
1164183,191885,-15,30.0,30.0,Active,0,0
1211563,172457,-16,6.0,5.0,Active,0,0
1359644,421401,-12,48.0,37.0,Active,0,0
2642971,374777,-17,36.0,19.0,Active,0,0
1111173,405576,-6,18.0,1.0,Active,0,0
2737148,273953,-12,18.0,9.0,Active,0,0
1997781,106954,-19,24.0,24.0,Active,0,0
1938291,107220,-8,24.0,22.0,Active,0,0
2820942,386299,-41,6.0,5.0,Active,0,0
2275797,393625,-12,36.0,32.0,Active,0,0
2565519,325859,-17,12.0,12.0,Active,0,0
2700995,200710,-82,6.0,0.0,Completed,0,0
2507822,386100,-6,36.0,22.0,Active,0,0
1510547,340584,-22,12.0,12.0,Active,0,0
1652719,141945,-25,36.0,31.0,Active,0,0
1374361,349517,-16,24.0,17.0,Active,0,0
1416704,213647,-14,12.0,9.0,Active,0,0
1382074,106954,-19,30.0,12.0,Active,0,0
1320030,339676,-15,6.0,4.0,Active,0,0
1081115,278649,-6,36.0,10.0,Active,0,0
1311858,290945,-18,23.0,5.0,Active,0,0
2479478,296190,-4,25.0,0.0,Completed,0,0
1564604,404486,-8,36.0,35.0,Active,0,0
2257784,454616,-17,60.0,60.0,Active,0,0
1715610,174038,-80,7.0,4.0,Active,0,0
1362103,349517,-8,12.0,9.0,Active,0,0
2709854,408910,-10,36.0,27.0,Active,0,0
1729970,141945,-25,12.0,9.0,Active,0,0
1959831,276853,-8,18.0,11.0,Active,1,1
2258655,352244,-95,9.0,7.0,Active,0,0
1845901,162235,-66,10.0,10.0,Active,0,0
2085811,315116,-11,24.0,22.0,Active,0,0
2105962,178591,-13,12.0,2.0,Active,0,0
2396919,292925,-4,30.0,6.0,Active,0,0
1092469,357915,-12,36.0,26.0,Active,0,0
