SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
101355,Cash loans,M,Y,Y,0,225000.0,1157958.0,49189.5,1035000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.016612,-18694,-1737,-10795.0,-2243,5.0,1,1,0,1,0,1,,2.0,2,2,THURSDAY,15,0,0,0,0,0,0,Business Entity Type 3,0.6581624862688094,0.1147600730519566,0.2009260877159709,0.0825,0.0641,0.9752,0.66,0.029,0.0,0.1379,0.1667,0.2083,0.0,0.0672,0.0699,0.0,0.0,0.084,0.0666,0.9752,0.6733,0.0292,0.0,0.1379,0.1667,0.2083,0.0,0.0735,0.0728,0.0,0.0,0.0833,0.0641,0.9752,0.6645,0.0291,0.0,0.1379,0.1667,0.2083,0.0,0.0684,0.0711,0.0,0.0,reg oper account,block of flats,0.0708,Panel,No,0.0,0.0,0.0,0.0,-296.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
103676,Cash loans,F,N,Y,0,103500.0,112500.0,6412.5,112500.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.0228,-21220,-2927,-47.0,-3385,,1,1,0,1,0,0,Sales staff,1.0,2,2,WEDNESDAY,9,0,0,0,0,0,0,Self-employed,,0.5258154561575856,0.4686596550493113,0.1402,0.0611,0.993,0.9048,0.0211,0.0,0.3448,0.1667,0.2083,0.1381,0.1126,0.1223,0.0077,0.0135,0.1429,0.0634,0.993,0.9085,0.0213,0.0,0.3448,0.1667,0.2083,0.1412,0.123,0.1274,0.0078,0.0143,0.1416,0.0611,0.993,0.9061,0.0212,0.0,0.3448,0.1667,0.2083,0.1405,0.1146,0.1245,0.0078,0.0138,reg oper account,block of flats,0.1086,"Stone, brick",No,1.0,0.0,1.0,0.0,-859.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
104354,Cash loans,M,Y,Y,0,202500.0,149256.0,17712.0,135000.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.030755,-10124,-2106,-4357.0,-2603,65.0,1,1,0,1,0,0,Laborers,1.0,2,2,MONDAY,13,0,0,0,0,1,1,Construction,0.6760561966933212,0.4205791737251993,0.6986675550534175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,-2289.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
107692,Cash loans,F,N,N,0,157500.0,229500.0,16830.0,229500.0,Unaccompanied,State servant,Secondary / secondary special,Single / not married,With parents,0.0145199999999999,-16629,-124,-2579.0,-154,,1,1,0,1,0,0,Accountants,1.0,2,2,TUESDAY,10,0,0,0,0,1,1,Other,0.6914936890028426,0.6619896222866586,0.3046721837533529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1901.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
111146,Cash loans,M,Y,N,0,135000.0,509400.0,34042.5,450000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.010147,-22822,365243,-4929.0,-4340,14.0,1,0,0,1,1,0,,2.0,2,2,TUESDAY,14,0,0,0,0,0,0,XNA,,0.4873651113370698,0.1798217650897043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-286.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
111277,Cash loans,F,N,Y,2,112500.0,601470.0,32760.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-12771,-1668,-1685.0,-1681,,1,1,0,1,0,0,Laborers,4.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,Industry: type 3,0.3214660956738028,0.6688298130385927,0.2525986978339766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,-823.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
111657,Cash loans,M,Y,Y,0,360000.0,904216.5,46296.0,742500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.010032,-13440,-5371,-4584.0,-4169,17.0,1,1,0,1,0,0,High skill tech staff,2.0,2,2,SUNDAY,7,0,0,0,0,0,0,Business Entity Type 2,0.7596523096341005,0.3743508308703615,0.5656079814115492,,,0.9737,,,,0.1379,0.1667,,,,0.0515,,,,,0.9737,,,,0.1379,0.1667,,,,0.0537,,,,,0.9737,,,,0.1379,0.1667,,,,0.0524,,,,block of flats,0.0648,"Stone, brick",No,0.0,0.0,0.0,0.0,-1109.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
112015,Cash loans,M,N,N,0,247500.0,458460.0,30636.0,405000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.005144,-11186,-1315,-1575.0,-3643,,1,1,1,1,1,0,Managers,2.0,2,2,MONDAY,15,0,0,0,1,1,0,Other,0.2335833404154244,0.3974792231135401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-544.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
117925,Cash loans,F,N,Y,0,117000.0,225000.0,26703.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-15653,-2105,-9549.0,-1301,,1,1,0,1,1,0,Cleaning staff,2.0,2,2,THURSDAY,18,0,0,0,0,0,0,Business Entity Type 3,,0.5021722274185328,0.1674084472266241,0.0825,,0.9757,,,0.0,0.0345,0.1667,,,,0.0721,,0.0,0.084,,0.9757,,,0.0,0.0345,0.1667,,,,0.0751,,0.0,0.0833,,0.9757,,,0.0,0.0345,0.1667,,,,0.0734,,0.0,,block of flats,0.0567,Panel,No,1.0,0.0,1.0,0.0,-82.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
118326,Cash loans,M,N,Y,2,180000.0,98109.0,7137.0,81000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561,-15431,-3944,-7264.0,-4226,,1,1,0,1,1,0,,4.0,1,1,WEDNESDAY,16,0,0,0,0,0,0,Business Entity Type 1,0.0150029392241375,0.6454034618680502,0.2431864804420123,0.0832,0.0687,0.9796,0.728,0.0445,0.1464,0.1034,0.4583,0.4858,0.0451,0.0658,0.1348,0.009,0.0186,0.0315,0.0432,0.9806,0.7452,0.0276,0.1208,0.0345,0.3333,0.5417,0.0253,0.0257,0.0708,0.0,0.0,0.0344,0.0417,0.9806,0.7383,0.0529,0.12,0.1034,0.4583,0.5417,0.0351,0.0239,0.126,0.0078,0.0221,reg oper account,block of flats,0.1808,"Stone, brick",No,0.0,0.0,0.0,0.0,-989.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,5.0,2.0
