SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
1962067,162336,1.0,1,-589.0,-603.0,7334.865,7334.865
1163732,116751,1.0,5,-751.0,-755.0,16312.41,16312.41
1211194,189957,0.0,138,-81.0,-81.0,1.35,1.35
1280154,167493,1.0,7,-906.0,-902.0,5958.18,5233.32
1059269,138047,1.0,14,-751.0,-758.0,7247.925,7247.925
2686990,154031,2.0,7,-1642.0,-1657.0,33147.9,33147.9
2826836,136964,0.0,25,-1988.0,-1988.0,232.515,232.515
1666294,188739,0.0,10,-199.0,-201.0,2324.745,2324.745
1211194,189957,0.0,113,-841.0,-841.0,1.35,1.35
1280723,199213,1.0,2,-994.0,-1022.0,6469.65,6469.65
1211194,189957,0.0,132,-262.0,-262.0,1.35,1.35
2221607,151195,2.0,1,-340.0,-340.0,679963.545,679963.545
1519348,158831,1.0,2,-2019.0,-2030.0,14713.695,14713.695
1211194,189957,0.0,105,-1085.0,-1085.0,1.35,1.35
1405658,140839,1.0,8,-933.0,-937.0,13794.75,13794.75
2105962,178591,1.0,11,-367.0,-353.0,18072.81,14597.91
2809651,115976,1.0,2,-678.0,-700.0,7883.685,7883.685
1382074,106954,1.0,29,-254.0,-259.0,19318.5,19318.5
1239520,165323,1.0,2,-821.0,-829.0,9508.77,9508.77
1332006,101170,1.0,16,-511.0,-526.0,83783.115,9526.86
2826836,136964,0.0,44,-1470.0,-1470.0,232.515,232.515
1336606,174165,0.0,1,-134.0,-134.0,90000.0,90000.0
1597089,186931,2.0,5,-1051.0,-1062.0,12886.38,12886.38
1139203,190213,2.0,3,-29.0,-50.0,53460.0,53460.0
1290037,137975,1.0,2,-1003.0,-1019.0,13131.0,13131.0
2270778,137695,1.0,6,-2543.0,-2552.0,7262.73,7262.73
2152804,186771,1.0,17,-1243.0,-1247.0,14892.3,14892.3
2603637,138047,0.0,4,-282.0,-282.0,2544.84,2544.84
2527699,137544,1.0,7,-506.0,-521.0,22051.845,22051.845
1088091,106381,1.0,1,-2767.0,-2767.0,5530.5,5530.5
1378381,119376,0.0,74,-1259.0,-1259.0,2587.5,2587.5
1413194,121577,1.0,19,-480.0,-486.0,15488.325,15488.325
1557088,107692,0.0,30,-498.0,-498.0,3514.455,3514.455
1719142,117925,0.0,49,-71.0,-71.0,407.43,407.43
1163732,116751,1.0,20,-301.0,-299.0,16312.41,5695.92
1519348,158831,1.0,5,-1929.0,-1932.0,14713.695,14713.695
2085004,153817,1.0,1,-1103.0,-1129.0,40410.0,40410.0
2105962,178591,1.0,4,-577.0,-601.0,18072.81,2481.57
1891559,119376,1.0,8,-2055.0,-2077.0,2641.815,2641.815
2527699,137544,1.0,4,-596.0,-603.0,22051.845,22051.845
2659759,193039,1.0,1,-2423.0,-2430.0,3932.325,3932.325
1629758,138085,1.0,1,-588.0,-618.0,15788.7,15788.7
2671074,119376,2.0,3,-230.0,-236.0,8005.59,15975.0
2671074,119376,1.0,3,-230.0,-236.0,7969.41,15975.0
2253928,142216,1.0,7,-839.0,-839.0,4447.755,4447.755
1037424,193983,2.0,11,-818.0,-826.0,15320.88,15320.88
1239520,165323,1.0,12,-521.0,-522.0,9508.77,9508.77
1331344,168666,1.0,4,-370.0,-391.0,17568.0,17568.0
1577262,119376,1.0,16,-789.0,-799.0,25546.77,25546.77
1448691,113529,3.0,14,-510.0,-534.0,145846.08,145846.08
1244047,154031,1.0,10,-849.0,-913.0,16826.4,16826.4
2787951,172941,1.0,6,-253.0,-284.0,16255.485,1436.94
1679146,115926,1.0,10,-737.0,-757.0,17215.65,17215.65
2014348,116751,0.0,46,-1500.0,-1514.0,9000.0,9000.0
2152804,186771,1.0,14,-1333.0,-1333.0,14892.3,14892.3
1054678,168658,0.0,16,-706.0,-706.0,0.225,0.225
1642197,186771,1.0,2,-426.0,-439.0,6060.06,6060.06
1391025,174165,1.0,1,-1660.0,-1662.0,19345.95,19345.95
1378381,119376,0.0,21,-2672.0,-2686.0,5400.0,5400.0
1593513,152209,1.0,1,-353.0,-360.0,11386.17,11386.17
1391025,174165,1.0,4,-1570.0,-1620.0,19345.95,19345.95
1573997,106381,1.0,6,-627.0,-628.0,38404.305,38404.305
1919149,186771,1.0,6,-1938.0,-1944.0,5424.93,5424.93
2610198,141945,0.0,1,-415.0,-415.0,279000.0,279000.0
2466486,162235,0.0,4,-305.0,-321.0,2250.0,2250.0
2804905,168666,0.0,15,-657.0,-657.0,328.5,328.5
1382322,186771,1.0,18,-1957.0,-1966.0,16713.405,16713.405
1153967,182767,1.0,5,-2393.0,-2403.0,4307.13,4307.13
2404563,162438,2.0,3,-695.0,-705.0,25639.2,25639.2
2826836,136964,0.0,61,-953.0,-953.0,232.515,232.515
1163732,116751,1.0,1,-871.0,-901.0,16312.41,16312.41
1431705,106381,1.0,1,-2563.0,-2595.0,7059.915,7059.915
1648579,108504,1.0,19,-584.0,-587.0,5398.155,5398.155
2085004,153817,1.0,5,-983.0,-1006.0,40410.0,40410.0
1748530,121577,1.0,7,-1223.0,-1219.0,12017.61,12010.77
2809651,115976,2.0,3,-648.0,-667.0,30160.665,30160.665
1332006,101170,1.0,12,-631.0,-634.0,83783.115,83783.115
